7,-3,5
-7,1,1
10,18,19
23,-5,17
11,9,31
9,28,3
-12,15,14
26,5,0
18,-4,-1
3,10,4
25,-12,11
6,33,4
-5,15,-5
-6,-3,7
-9,-1,15
41,11,21
-3,0,19
13,27,7
-1,18,2
26,23,7
-9,9,10
34,7,11
28,-2,-7
5,10,13
-7,-11,17
3,11,1
24,24,12
32,4,4
9,-9,11
30,16,5
45,19,17
5,2,0
29,15,2
16,-2,17
2,-3,-9
16,13,15
16,31,6
-5,-12,16
-6,23,-3
-37,-5,1
7,21,7
8,11,14
44,15,22
34,15,11
7,4,6
-7,12,-5
33,10,-3
14,14,5
3,27,-3
35,12,5
-5,16,7
38,19,4
-10,7,5
7,-1,4
12,20,10
-11,2,10
28,4,10
-19,10,-4
5,17,0
9,0,12
16,14,4
-11,6,12
16,12,-6
34,15,8
-21,3,19
15,5,28
21,2,12
12,2,-0
16,6,6
4,13,19
20,-15,4
19,-0,-1
13,8,12
16,18,13
-1,1,11
4,4,14
26,5,9
25,9,31
42,-4,14
-12,5,5
35,9,6
-14,14,16
12,10,9
-12,-1,26
0,7,20
25,16,0
23,20,8
12,-1,11
19,13,11
16,5,25
19,23,-0
15,11,15
7,27,9
4,23,6
6,12,11
11,-4,19
9,8,15
24,17,24
-2,33,16
27,25,12
19,8,8
15,14,22
-19,10,-2
3,9,2
9,9,14
6,-3,19
19,2,17
-10,-1,-2
11,14,8
14,1,21
11,5,16
2,-10,17
17,4,9
1,28,13
32,41,-3
2,-2,-0
27,1,3
20,21,16
-3,11,14
14,12,7
9,-9,7
13,-4,11
35,-1,7
0,-9,8
41,25,4
-4,2,8
12,8,-8
2,22,10
41,16,5
19,2,17
24,-4,25
16,17,-3
32,-6,29
21,9,13
5,14,10
-1,11,4
15,18,11
12,3,6
13,2,8
38,2,22
-1,18,1
24,12,20
42,13,-4
21,30,11
-3,16,17
10,21,2
-7,20,3
8,-2,6
21,22,1
-5,18,15
-9,10,6
31,30,5
29,16,2
12,3,2
46,17,18
32,14,25
-4,19,4
15,-0,8
46,-2,1
2,20,6
24,13,6
27,6,5
25,5,20
-5,12,21
5,-6,16
-3,-15,19
1,-3,12
5,4,15
-10,21,0
13,21,3
35,-3,3
-8,17,1
6,-1,11
-25,31,-1
24,12,3
29,3,7
19,10,4
32,-4,1
-20,14,12
8,-1,-6
9,-2,27
48,-13,3
25,1,11
32,6,2
13,22,7
9,29,3
-2,17,11
9,6,9
9,18,22
6,-3,16
-5,19,9
15,7,13
46,18,4
32,-15,18
-4,11,12
24,-9,21
50,18,9
-12,25,14
1,-1,6
12,2,1
51,2,23
-10,18,5
10,-4,1
9,-0,-5
6,19,10
8,20,1
12,-2,6
-12,-1,8
-42,16,5
7,4,8
5,32,10
14,7,5
53,11,20
-2,14,13
19,8,17
4,8,4
17,23,4
28,4,-10
-24,37,8
3,20,14
10,11,15
2,2,8
-10,18,20
33,6,11
19,20,8
45,11,-1
1,18,18
5,4,27
12,11,2
1,10,10
5,12,2
10,19,7
22,1,11
-8,35,14
15,27,20
36,4,22
14,20,5
-6,4,24
9,8,12
11,8,18
30,1,7
26,3,7
0,26,8
2,-15,12
17,8,16
40,-5,12
29,7,8
-23,9,15
15,16,-3
40,8,12
18,17,6
15,6,22
14,10,14
9,19,1
-2,11,19
10,9,12
-8,13,16
13,13,14
17,10,8
15,4,10
26,13,12
7,24,6
42,-8,1
8,18,-1
5,25,22
5,2,22
36,1,10
-30,8,9
35,-7,25
-10,13,7
24,17,15
28,8,16
8,2,9
-17,23,2
17,6,5
-5,12,1
-1,20,20
16,-2,6
21,13,10
-3,-12,27
3,9,11
20,8,2
5,6,8
18,20,8
35,27,20
-10,10,2
8,3,12
13,6,5
-6,5,8
38,-0,20
26,4,7
42,6,2
2,4,15
13,-6,15
30,10,-3
-3,26,7
16,-5,5
-2,21,-7
19,-11,6
38,10,2
23,14,14
-7,28,-3
-2,20,8
11,14,4
19,8,11
-4,17,4
13,5,11
-20,5,8
33,4,10
14,8,9
-3,28,14
19,9,28
34,18,-5
26,1,13
22,2,15
15,32,12
-9,15,13
30,12,16
8,6,14
30,7,11
2,10,14
38,12,5
1,5,17
32,14,24
9,18,4
11,17,5
